GridID,Category,SubstGroup,Substance,Type,Tissue,Unit,BASIS,Threshold,Value,CR
100kmE36N39,Water,PAHs,PA,,,µg/l,,1.3,7.32E-05,5.63E-05
100kmE36N39,Water,Metals,PB,,,µg/l,,1.3,0.028443333,0.021879487
100kmE36N39,Water,PAHs,PYR,,,µg/l,,0.023,9.75E-06,0.000423913
100kmE36N39,Water,Organochlorines,QCB,,,µg/l,,7.00E-04,1.05E-06,0.0015
100kmE36N39,Water,Organochlorines,TRF,,,µg/l,,0.03,6.08E-07,2.03E-05
100kmE36N40,Water,PAHs,ANT,,,µg/l,,0.1,2.25E-06,2.25E-05
100kmE36N40,Water,PAHs,BAP,,,µg/l,,0.00017,3.00E-06,0.017647059
100kmE36N40,Water,PCBs,CB138,,,µg/l,,2.00E-05,8.00E-07,0.04
100kmE36N40,Water,PCBs,CB153,,,µg/l,,0.001,1.55E-06,0.00155
100kmE36N40,Water,Metals,CU,,,µg/l,,0.02,0.0863475,4.317375
100kmE36N40,Water,Other organohalogens,DDTPP,,,µg/l,,0.01,1.80E-07,1.80E-05
